c613744d-a2cc-4e5b-b0a4-c9e1488b7658,c2a77b75-8552-4fe0-ab49-231803244ace,El instructor expuso el objetivo y temario del curso.,1
d6ade9fe-b02a-4435-8254-00b009fcc8a6,c2a77b75-8552-4fe0-ab49-231803244ace,El instructor mostró dominio del contenido abordado.,2
6577645c-96f6-495d-ae31-65727e029d68,c2a77b75-8552-4fe0-ab49-231803244ace,El instructor fomentó la participación del grupo.,3
a2b6fbd2-e431-485d-910f-d1440c4fc6f4,c2a77b75-8552-4fe0-ab49-231803244ace,El instructor aclaró las dudas que se presentaron.,4
8775f5a8-d88a-46c1-9eb8-9a44a1aee56a,c2a77b75-8552-4fe0-ab49-231803244ace,El instructor proporcionó retroalimentación a los ejercicios realizados.,5
747f6e4a-1103-4fd3-91da-7743c623dd60,c2a77b75-8552-4fe0-ab49-231803244ace,El instructor aplicó una evaluación final relacionada con los contenidos del curso.,6
e6b27138-4041-4253-a1fb-8a6c530ed06c,c2a77b75-8552-4fe0-ab49-231803244ace,El instructor inició y concluyó puntualmente las sesiones.,7
44c6af40-e6c3-4b01-90d6-7b1bc20f33d1,c2a77b75-8552-4fe0-ab49-231803244ace,El material didáctico fue útil a lo largo del curso.,8
2b884a85-b41e-4c91-8a42-c98a41583f5f,c2a77b75-8552-4fe0-ab49-231803244ace,La impresión del material didáctico fue legible.,9
e619993e-cc69-45bb-a990-6e3bf840dca7,c2a77b75-8552-4fe0-ab49-231803244ace,La variedad del material didáctico fue suficiente para apoyar su aprendizaje.,10
f47b08ed-1f5b-4e4f-b0d4-d2446df19157,c2a77b75-8552-4fe0-ab49-231803244ace,La distribución del tiempo fue adecuada para cubrir el contenido.,11
c648f340-b4d4-4d8a-85bb-501314c4b83a,c2a77b75-8552-4fe0-ab49-231803244ace,Los temas fueron suficientes para alcanzar el objetivo del curso.,12
8b0cc047-eb89-4409-a81a-ac481299369a,c2a77b75-8552-4fe0-ab49-231803244ace,El curso comprendió ejercicios de práctica relacionados con el contenido.,13
e4e69b3d-a4e2-4c4b-8991-d38071d9a20f,c2a77b75-8552-4fe0-ab49-231803244ace,El curso cubrió sus expectativas.,14
c16802fa-af4a-4855-bb20-f20ceaa2f28e,c2a77b75-8552-4fe0-ab49-231803244ace,La iluminación del aula fue adecuada.,15
43292b9b-14d1-40ca-96a9-77bc88f49128,c2a77b75-8552-4fe0-ab49-231803244ace,La ventilación del aula fue adecuada.,16
f2665c3d-d0d5-405d-ac73-533c3bc41d29,c2a77b75-8552-4fe0-ab49-231803244ace,El aseo del aula fue adecuado.,17
a3326530-b3f4-4122-a38f-bf2b231b0de0,c2a77b75-8552-4fe0-ab49-231803244ace,"El servicio de los sanitarios fue adecuado (limpieza, abasto de papel, toallas, jabón, etc.).",18
cba33950-6190-4401-a749-26dff08cb6ab,c2a77b75-8552-4fe0-ab49-231803244ace,El servicio de café fue adecuado.,19
4e376ddf-922b-4d57-8551-0cd679d218db,c2a77b75-8552-4fe0-ab49-231803244ace,Recibió apoyo del personal que coordinó el curso.,20
085773da-7b07-4619-8178-cdffcb5ea7dc,c2a77b75-8552-4fe0-ab49-231803244ace,Comentarios y sugerencias,21
35860b6b-24b7-4269-a4d5-5f3e9d7c6174,3d1fa6a2-6d4a-42fa-a474-68c83156f541,Los conocimientos adquiridos en el curso tienen aplicación en su ámbito laboral en el corto y mediano plazo.,1
99d63963-cdc6-41b7-bcbf-01fe09ef6c88,3d1fa6a2-6d4a-42fa-a474-68c83156f541,El curso le ayudó a mejorar el desempeño de sus funciones.,2
0ef61261-a82e-43dc-b13e-642430980b5c,3d1fa6a2-6d4a-42fa-a474-68c83156f541,El curso le ayudó a considerar nuevas formas de trabajo.,3
f27d05f4-7bfa-4d41-ad34-b0154943d0f6,3d1fa6a2-6d4a-42fa-a474-68c83156f541,El curso que tomó le:,4
4b67a52c-ee25-4970-9b1a-8881eadf83a8,3d1fa6a2-6d4a-42fa-a474-68c83156f541,"En caso de considerar que existen obstáculos que le impidan aplicar los conocimientos del curso, señale con una ""X"" el correspondiente.
",5
b5673bc5-6d8e-46f6-9839-81dfa7b63ec2,3d1fa6a2-6d4a-42fa-a474-68c83156f541,Comentarios y sugerencias,6
